source_table_index,S. No.,Recognition Number,Company Name,Company Address,Name & Address of the Company,Location of recognized In-House R&D Units,Valid Upto
69,537.,TU/IV-RD/2644,KN Biosciences (India) Pvt.,"Ltd. Plot No. 28, UshodayaEnclave, Madinaguda, Miyapur, Hyderabad-500 050, Telangana","KN Biosciences (India) Pvt. Ltd. Plot No. 28, UshodayaEnclave, Madinaguda, Miyapur, Hyderabad-500 050, Telangana","1st Floor, Survey No. 487, Behind SLI Power Engineers, Bachupally (Village&Mandal),Medchal-Malkajgiri Dist.,Hyderabad (Telangana)",31.03.2026
72,557.,TU/IV-RD/2686,Vikky's Agrisciences Pvt.,"Ltd. G-1, Manu Abode, Plot No 26, Gafoornagar, Madhapur, Hyderabad – 500 081(Telangana)","Vikky's Agrisciences Pvt. Ltd. G-1, Manu Abode, Plot No 26, Gafoornagar, Madhapur, Hyderabad – 500 081(Telangana)","NandigamaVillage, Patancheru Mandal, Sanga Reddy Dist., (Telangana)",31.03.2027
73,560.,TU/IV-RD/2696,Mylan Laboratories Ltd.,", 564/A/22, Road No. 92,Jubilee Hills,Hyderabad - 500 096, (Telangana)","Mylan Laboratories Ltd., 564/A/22, Road No. 92,Jubilee Hills,Hyderabad - 500 096, (Telangana)","FDF R&D Centre, API R&D Centre and Injectables R&D Centre, Plot No. 31, 32, 33 & 34A (House No.15-10), Anrich Industrial Estate, Bollaram, Jinnaram Mandal,Sangareddy, (Telangana) (ii) Clinical Research Centre, Saradhi Chambers,A-4 Rukminipuri, Near Poulomi Hospital, A.S. Rao Nagar, Hyderabad, (Telangana) (iii) Injectables R&D centre, Sy. Nos. 28,29,30 &42, Plot No. 48, Bommasandra-Jigani Link Road, Industrial Area, Bandenallasandra Village, Jigani Hobli, Anekal Taluk,Bangalore, (Karnataka)",31.03.2026
75,580.,TU/IV-RD/2740,Vivo Bio Tech Ltd.,"#8-2-672/5&6,Ilyas Mohammed Khan Estate, 3rd Floor, Road No. 1, Banjara Hills, Hyderabad– 500 034, Telangana","Vivo Bio Tech Ltd. #8-2-672/5&6,Ilyas Mohammed Khan Estate, 3rd Floor, Road No. 1, Banjara Hills, Hyderabad– 500 034, Telangana","Sy. No. 349/A 350, 351,356, Pregnapur Village, Gajwel Mandal, Siddipet District (Telangana)",31.03.2025
75,581.,TU/IV-RD/2741,Relisys Medical Devices Ltd.,"Survey No. 312, PocharamRoad,Mangalapally Village, Ibrahimpatnam Mandal, Rangareddy - 501 510,(Telangana)","Relisys Medical Devices Ltd. Survey No. 312, PocharamRoad,Mangalapally Village, Ibrahimpatnam Mandal, Rangareddy - 501 510,(Telangana)","Survey No. 312, Pocharam Road, Mangalapally Village, Ibrahimpatnam Mandal, Rangareddy, (Telangana)",31.03.2027
76,588.,TU/IV-RD/2769,Fleming Laboratories Ltd.,"Plot No. 131, Ground Floor, Green Park Avenue, Behind Hotel Surabhi Pride (Near SuchitraJunction), Jeedimetla, Hyderabad-500 067 (Telangana)","Fleming Laboratories Ltd. Plot No. 131, Ground Floor, Green Park Avenue, Behind Hotel Surabhi Pride (Near SuchitraJunction), Jeedimetla, Hyderabad-500 067 (Telangana)","Plot No.152 & 160, Phase V, IDA, Jeedimetla, Hyderabad (Telangana)",31.03.2027
78,596.,TU/IV-RD/2793,Limagrain India Pvt.,"Ltd.H.No.1-8-201 to 203, FlatNo.208 to 209 Ashoka My Home Chambers,S. P. Road, Secunderabad -500 003 Telangana","Limagrain India Pvt. Ltd.H.No.1-8-201 to 203, FlatNo.208 to 209 Ashoka My Home Chambers,S. P. Road, Secunderabad -500 003 Telangana","Yadaram Village, Medchal Mandal, R.R. Dist, Telangana",31.03.2026
78,602.,TU/IV-RD/2805,Vasant Chemicals Pvt.,"Ltd. 4th Floor, Vasant Towers,Begumpet, Hyderabad - 500 016,Telangana","Vasant Chemicals Pvt. Ltd. 4th Floor, Vasant Towers,Begumpet, Hyderabad - 500 016,Telangana","Plot No. 91 C&D, Phase I, IDA,Jeedimetla, Hyderabad, Telangana",31.03.2026
80,620.,TU/IV-RD/2833,Vimta Labs Ltd.,"142, IDA PhaseII,CherlapallyHyderabad-500051, Telangana","Vimta Labs Ltd. 142, IDA PhaseII,CherlapallyHyderabad-500051, Telangana","Life Science Facility, 5, MN Park,GenomeValley,Shameerpet,Hyderabad, Telangana",31.03.2026
81,623.,TU/IV-RD/2839,Mahati Seed Sciences Pvt.,"Ltd. 1401,14th Floor, BabukhanEstate, Basheerbagh, Hyderabad- 500 001, (Telangana)","Mahati Seed Sciences Pvt. Ltd. 1401,14th Floor, BabukhanEstate, Basheerbagh, Hyderabad- 500 001, (Telangana)","Gatt No. 28 & 40, At. PO Patoda, Tal. & Dist. Aurangabad, (Maharashtra)",31.03.2028
82,632.,TU/IV-RD/2866,Maspack Ltd.,"Maspack House,H.No.12-13-1274, Tarnaka,Hyderabad- 500 017, Telangana","Maspack Ltd.Maspack House,H.No.12-13-1274, Tarnaka,Hyderabad- 500 017, Telangana","Pochampally Vill. & Mandal, Yadadri Bhuvanagiri Dist. Telangana",31.03.2026
82,637.,TU/IV-RD/2879,Aishwarya Seeds India Pvt.,"Ltd. 1-143, R.T.C.Colony,Medchal, Hyderabad – 501 401,Telangana","Aishwarya Seeds India Pvt. Ltd. 1-143, R.T.C.Colony,Medchal, Hyderabad – 501 401,Telangana","Survey No. 665, Village-Tunki Khalsha,Mandal-Wargal, Distt: Siddipet, Telangana",31.03.2025
83,646.,TU/IV-RD/2903,MSN Laboratories Pvt.,"Ltd. MSN House, Plot No. C-24, Sanath Nagar, Industrial Estate, Sanath Nagar, Hyderabad – 500 018 (Telangana)","MSN Laboratories Pvt. Ltd. MSN House, Plot No. C-24, Sanath Nagar, Industrial Estate, Sanath Nagar, Hyderabad – 500 018 (Telangana)","(i) S. No. 317 & 323,Rudraram Vill., Patancheru Mandal, Sangareddy Dist. (Telangana) (ii) Plot No 12, Phase IV, Pashamylaram, PatancheruMandal,SangareddyDistrict (Telangana)",31.03.2027
84,652.,TU/IV-RD/2919,Corteva Agriscience Seeds Pvt.,"Ltd., V-Ascendas, Atria Block, 12th Floor, Plot No. 17, Software Unit Layout,Madhapur, Hyderabad – 500 081, (Telangana)","Corteva Agriscience Seeds Pvt. Ltd., V-Ascendas, Atria Block, 12th Floor, Plot No. 17, Software Unit Layout,Madhapur, Hyderabad – 500 081, (Telangana)","Yellampet (Vill.), Athiveli Post, Mandal & District Medchal (Telangana)",31.03.2028
84,656.,TU/IV-RD/2925,Aizant Drug Research Solutions Pvt.,"Ltd. Survey No. 172 & 173, Apparel Park Road, Dulapally,Dundigal Gandimaisamma Mandal, Medchal-MalkhajgiriDistrict, Hyderabad - 500 010,Telangana","Aizant Drug Research Solutions Pvt. Ltd. Survey No. 172 & 173, Apparel Park Road, Dulapally,Dundigal Gandimaisamma Mandal, Medchal-MalkhajgiriDistrict, Hyderabad - 500 010,Telangana","Survey No. 172 & 173, Apparel Park Road, Dulapally,Dundigal Gandimaisamma Mandal, Medchal-Malkhajgiri District, Hyderabad, Telangana",31.03.2025
85,659.,TU/IV-RD/2931,Seedworks International Ltd.,"Survey No. 530A, GowdavellyVillage, District Medchal – 501 401 (Telangana)","Seedworks International Ltd. Survey No. 530A, GowdavellyVillage, District Medchal – 501 401 (Telangana)","(i) Survey No. 530A, Gowdavelly Village, District: Medchal, (Telangana) (ii) Survey No. 335/1, 335/2, 336/1, 336/2, 337/1, 337/2,288/7A1,60/P2,60/P3,60/P5, 60/P6 and 60/P9, Alkapura farm-Gouribidanur(Tq),Dist.:Chikkballapur (Karnataka)",31.03.2027
85,661.,TU/IV-RD/2937,Penna Seeds Pvt.,"Ltd. Plot No. 135, Flat No. 301, Godha Nilayam, 6th Phase,K.P.H.B.,Kukatpally, Hyderabad-500 072,","Penna Seeds Pvt. Ltd. Plot No. 135, Flat No. 301, Godha Nilayam, 6th Phase,K.P.H.B.,Kukatpally, Hyderabad-500 072,","Seed Research Unit, Muneerabad Vill., Sy. No. 30/2, 30/3, Medchal Mandal, Medchal-Malkajgiri District, Telangana",31.03.2026
86,664.,TU/IV-RD/2947,Vins Bioproducts Ltd.,"#806, Essjay House,Road No.3, Banjara Hills,Hyderabad - 500 034, Telangana","Vins Bioproducts Ltd. #806, Essjay House,Road No.3, Banjara Hills,Hyderabad - 500 034, Telangana","Survey No.117, Thimmapur Village, Kothur Mandal, Ranga Reddy Dist. Telangana.",31.03.2027
86,668.,TU/IV-RD/2955,Srini Pharmaceuticals Pvt.,"Ltd., Plot No.10, Type-C, Road No.8, Film Nagar, Jubilee Hills, Hyderabad - 500 096,(Telangana)","Srini Pharmaceuticals Pvt. Ltd., Plot No.10, Type-C, Road No.8, Film Nagar, Jubilee Hills, Hyderabad - 500 096,(Telangana)","SurveyNo.247, Choutuppal,YadadriBhuvanagiri(Dist.), (Telangana)",31.03.2027
87,677.,TU/IV-RD/2975,Hytech Seed India Pvt.,"Ltd., Survey Number 362, RavalkoleVillage,MedchalMandal, Medchal-MalkajgiriDistrict-501401 (Telangana)","Hytech Seed India Pvt. Ltd., Survey Number 362, RavalkoleVillage,MedchalMandal, Medchal-MalkajgiriDistrict-501401 (Telangana)","Survey No. 361 & 362, V&PO Ravalkole, Medchal Mandal, Medchal-Malkajgiri District (Telangana)",31.03.2027
89,689.,TU/IV-RD/3004,Paturu Agri Biotech Pvt.,"Ltd.# 1-8-505/1, 2ndFloor,PrakashNagar, Begumpet,Hyderabad-500 016, Telangana.","Paturu Agri Biotech Pvt. Ltd.# 1-8-505/1, 2ndFloor,PrakashNagar, Begumpet,Hyderabad-500 016, Telangana.","Sy No. 235, Akvanchaguda Village, Jinnaram (Mandal), Medak (Dist.), Telangana",31.03.2027
89,692.,TU/IV-RD/3009,Novartis Healthcare Pvt.,"Ltd., Synergy Square 3, Building No. 1800 1st Floor & 2nd Floor, Plot No. 4, Survey No's 101 and 101/2, Lalgadi MalakpetVillage,ShameerpetMandal, Medchal-Malkajgiri District, Hyderabad - 500 101, Telangana","Novartis Healthcare Pvt. Ltd., Synergy Square 3, Building No. 1800 1st Floor & 2nd Floor, Plot No. 4, Survey No's 101 and 101/2, Lalgadi MalakpetVillage,ShameerpetMandal, Medchal-Malkajgiri District, Hyderabad - 500 101, Telangana","(i) Synergy Square 3, Plot No. 4, Building No. 1800, 1st Floor & 2nd Floor,(Labs A21, A22, A23, A24, A31, A32, A33, A34 A12)Building No. 2700, 1st Floor (Labs b12, B13, B14 shifted from R&D unit 02) Survey No.'s 101 and 101/2, Lalgadi Malakpet (V), Shameerpet (M), Medchal-Malkajgiri (D), Hyderabad",31.03.2026
91,700.,TU/IV-RD/3026,Granules India Ltd.,"2nd Floor, 3rd Block, My Home Hub, Madhapur, Hyderabad, Telangana - 500 081","Granules India Ltd. 2nd Floor, 3rd Block, My Home Hub, Madhapur, Hyderabad, Telangana - 500 081","(i) Plot No. 56, Survey No. 342, Road No. 5, ALEAPIndustrial Area, Pragathi Nagar, Gajularamaramvillage,Qutubullapur Mandal, Ranga Reddy Distt. Hyderabad, Telangana (ii) Plot No 10, Survey No. 234,235 & 245, India Land Global Industrial Park, Hinjewadi, Phase-1, Pune(iii) Plot No 160/A ,161E GagillapurVill.Qutubullapur,Mandal, Telangana (iv) Plot No 8, Jawaharlal Nehru Pharma City,Parawada,Visakhapatnam (AP)",31.03.2025
92,704.,TU/IV-RD/3033,Neo Seeds India Pvt.,"Ltd. 7-1-22/14, Lane Next to Roxana Towers, BegumpetRailwayStationRoad,Greenlands, Hyderabad-500016 (Telangana)","Neo Seeds India Pvt. Ltd. 7-1-22/14, Lane Next to Roxana Towers, BegumpetRailwayStationRoad,Greenlands, Hyderabad-500016 (Telangana)","Sy. No. 1159 to 1163,Masaipet Village, Veldurthy Mandal, Medak District (Telangana)",31.03.2025
93,711.,TU/IV-RD/3045,Yaganti Agro-Tech Pvt.,"Ltd. Plot No. 38, Green Park Avenue, Near SuchitraCircle,JeedimetlaVillage,MedchalRoad, Hyderabad – 500 067,(Telangana)","Yaganti Agro-Tech Pvt. Ltd. Plot No. 38, Green Park Avenue, Near SuchitraCircle,JeedimetlaVillage,MedchalRoad, Hyderabad – 500 067,(Telangana)","Survey No. 396, Gundla PochampalliVillage, Medchal Mandal & District, (Telangana)",31.03.2028
94,721.,TU/IV-RD/3077,Smilax Laboratories Ltd.,"Plot No. 12/A, Phase-III,I.D.A.,Jeedimetla, Hyderabad - 500 055, Telangana","Smilax Laboratories Ltd. Plot No. 12/A, Phase-III,I.D.A.,Jeedimetla, Hyderabad - 500 055, Telangana","Unit-I,PlotNo.12/A, Phase-III,I.D.A.,Jeedimetla,Hyderabad, Telangana",31.03.2026
95,725.,TU/IV-RD/3102,Symed Labs Ltd.,"Plot No. 290, Srivalli’s Corporate, Road No. 06, Kakatiya Hills, Madhapur,Hyderabad - 500 081, (Telangana)","Symed Labs Ltd.Plot No. 290, Srivalli’s Corporate, Road No. 06, Kakatiya Hills, Madhapur,Hyderabad - 500 081, (Telangana)","Plot No. 89/A, Phase-I, IDA, Jeedimetla, Hyderabad, (Telangana)",31.03.2028
96,730.,TU/IV-RD/3111,Celon Laboratories Pvt.,"Ltd. Plot No. 264, Patrika Nagar,Madhapur, Hyderabad – 500 081,Telangana","Celon Laboratories Pvt. Ltd. Plot No. 264, Patrika Nagar,Madhapur, Hyderabad – 500 081,Telangana","Plot No.- 123 & 124, ALEAPIndustrialEstate, Gajularamaram,NearPragathi Nagar, Hyderabad, Telangana",31.03.2025
99,755.,TU/IV-RD/3153,Aadhaar Seeds Pvt.,"Ltd. Plot No 55, Road No 3, Haripur Colony , Saroor Nagar, Hyderabad - 500035, Telangana","Aadhaar Seeds Pvt. Ltd. Plot No 55, Road No 3, Haripur Colony , Saroor Nagar, Hyderabad - 500035, Telangana","Dubbaka Vill, Ramannapet (Mdl), Nalgonda (Dist.) Telangana",31.03.2026
99,761.,TU/IV-RD/3167,Tergene Biotech Ltd.,"(Formerly . Tergene Biotech Pvt. Ltd.) Suit-121 &122, Building 450, GenomeValley,TurkapallyVillage, Shamirpet Mandal, RangaReddy Dist,Hyderabad – 500 078, Telangana","Tergene Biotech Ltd. (Formerly . Tergene Biotech Pvt. Ltd.) Suit-121 &122, Building 450, GenomeValley,TurkapallyVillage, Shamirpet Mandal, RangaReddy Dist,Hyderabad – 500 078, Telangana","Suite-121&122,Building450GenomeValley, Turkapally Village,ShamirpetMandal, RangaReddyDistrict, Hyderabad, Telangana",31.03.2025
101,778.,TU/IV-RD/3203,Siri Seeds (India) Pvt.,"Ltd. 301 & 302, 3rd Floor, 6-3-1099/1100,Babukhan’s Millennium Centre, Raj Bhawan Road,Somajiguda, Hyderabad – 500 082,(Telangana)","Siri Seeds (India) Pvt. Ltd. 301 & 302, 3rd Floor, 6-3-1099/1100,Babukhan’s Millennium Centre, Raj Bhawan Road,Somajiguda, Hyderabad – 500 082,(Telangana)","Survey No. 67, 68, 71, 72,DanthanpallyVillage, Mandal:Shivampeta, District Medak, (Telangana)",31.03.2028
103,791.,TU/IV-RD/3229,ADAMA India Pvt.,"Ltd. Plot No. DS-13, Sy No 542/2, IKP Knowledge Park,Turkapally, Shameerpet, Medchal-MalkajgiriDist.Hyderabad-500 101, Telangana","ADAMA India Pvt. Ltd. Plot No. DS-13, Sy No 542/2, IKP Knowledge Park,Turkapally, Shameerpet, Medchal-MalkajgiriDist.Hyderabad-500 101, Telangana","Plot No. DS-13, IKPKnowledgePark, Shameerpet, Turkapally, Medchal Dist. Hyderabad, Telangana",31.03.2026
103,793.,TU/IV-RD/3231,Sowbhagya Biotech Pvt.,"Ltd. Plot No. 79, Phase-II, IDA, Cherlapally, Hyderabad-500051(Telangana)","Sowbhagya Biotech Pvt. Ltd. Plot No. 79, Phase-II, IDA, Cherlapally, Hyderabad-500051(Telangana)","Sy. No.418, 420 & 421,VillageAregudem, ChoutuppalMandal,BhuvanagiriYadadri Dist., Telangana",31.03.2026
103,796.,TU/IV-RD/3236,Sigachi Industries Ltd.,"229/1 & 90 Kalyan’s Tulasiram Chambers, Madinaguda, Hyderabad -500 049, Telangana","Sigachi Industries Ltd. 229/1 & 90 Kalyan’s Tulasiram Chambers, Madinaguda, Hyderabad -500 049, Telangana","Plot No. Z-16, Dahej SEZ, Part 1, Dahej, Tal. Vagra, District - Bharuch (Gujarat)",31.03.2026
104,803.,TU/IV-RD/3260,Biogenex Life Sciences Pvt.,"Ltd. Plot No. 4, Survey No. 656/A(Part), Aero Space & Precision Engineering Industries SEZ,Adibatla,Rangareddi - 501 510, Telangana","Biogenex Life Sciences Pvt. Ltd. Plot No. 4, Survey No. 656/A(Part), Aero Space & Precision Engineering Industries SEZ,Adibatla,Rangareddi - 501 510, Telangana","Plot No. 4, Survey No. 656/A, TSIIC,Aero Space & PrecisionEngineering Industries SEZ, Adibatla, Rangareddi(Telangana)",31.03.2026
104,805.,TU/IV-RD/3266,Brilliant Bio Pharma Pvt.,"Ltd.Plot No. 97,98,276,277,IDA,Pashamylaram,Sangareddy District – 502 307, (Telangana)","Brilliant Bio Pharma Pvt. Ltd.Plot No. 97,98,276,277,IDA,Pashamylaram,Sangareddy District – 502 307, (Telangana)","Plot No. 97, 98, 276, 277,IDA,Pashamylaram, SangareddyDistrict, (Telangana)",31.03.2028
104,806.,TU/IV-RD/3267,Finoso Pharma Pvt.,"Ltd. Building 450, MN Science and Technology Park,Turkapally,Samirpet, Hyderabad Telangana","Finoso Pharma Pvt. Ltd. Building 450, MN Science and Technology Park,Turkapally,Samirpet, Hyderabad Telangana","Building 450, MN Science andTechnologyPark, Phase-I,Turkapally, Samirpet, Hyderabad,Telangana",31.03.2026
106,823.,TU/IV-RD/3338,Orbicular Pharmaceutical Technologies Pvt.,"Ltd. PlotNo.53,ALEAPIndustrial Estate, Near PragathiNagar, Kukatpally, Hyderabad -500 090, Telangana","Orbicular Pharmaceutical Technologies Pvt. Ltd. PlotNo.53,ALEAPIndustrial Estate, Near PragathiNagar, Kukatpally, Hyderabad -500 090, Telangana","Plot No. 53, Aleap Industrial Estate, Near Pragathi Nagar, Kukatpally, Hyderabad, Telangana",31.03.2026
107,825.,TU/IV-RD/3341,Globion India Pvt.,"Ltd. 2nd Floor, Survey #25, Vasavi Gold Stone, Beside Military Foot Ball Ground, Trimulgherry,Secunderabad, Telangana – 500 015","Globion India Pvt. Ltd. 2nd Floor, Survey #25, Vasavi Gold Stone, Beside Military Foot Ball Ground, Trimulgherry,Secunderabad, Telangana – 500 015","Door No. 4-3, Biotech Park Phase III, Survey No. 321, Karakapatla,Markook Mandal, Siddipet Dist., Telangana",31.03.2026
109,846.,TU/IV-RD/3406,J.,"C. Biotech Pvt. Ltd. Plot No. 3, Sagar Society, Road No. 2, Banjara Hills,Hyderabad- 500 034, (Telangana)","J. C. Biotech Pvt. Ltd. Plot No. 3, Sagar Society, Road No. 2, Banjara Hills,Hyderabad- 500 034, (Telangana)","Plot No. 548-550, APIICGrowth Centre, Gundlapalli, (V), Maddipadu Mandal Prakasam Dist., AP",31.03.2027
110,852.,TU/IV-RD/3419,Sai Life Sciences Ltd.,"Plot No. DS - 7, IKPKnowledgePark,TurakapallyVillage,Shameerpet Mandal, Medchal-Malkajgiri Dist. Hyderabad – 500 078 (Telangana)","Sai Life Sciences Ltd.Plot No. DS - 7, IKPKnowledgePark,TurakapallyVillage,Shameerpet Mandal, Medchal-Malkajgiri Dist. Hyderabad – 500 078 (Telangana)","(i) DS-4 &DS-7,IKPKnowledge Park, Phase - I, TurakapallyVillage,ShameerpetMandal, Medchal-Malkajgiri Dist. Hyderabad (Telangana) (ii) Plot No. 80 A, 80 B & 81 A,Kolhar Industrial Area, Bidar (Karnataka)",31.03.2027
112,869.,TU/IV-RD/3461,Kurnool Seeds (P) Ltd.,"#1-5-1055/87/55,N/RHMTColony,Jonnabanda,Alwal, GHMC Circle Malkajgiri,Hyderabad-500010 (Telangana)","Kurnool Seeds (P) Ltd.#1-5-1055/87/55,N/RHMTColony,Jonnabanda,Alwal, GHMC Circle Malkajgiri,Hyderabad-500010 (Telangana)","Vemula-Village, Itikyala-Mandal, Jogulamba Gadwal District (Telangana)",31.03.2027
112,871.,TU/IV-RD/3463,AG Bio Systems Pvt.,"Ltd. Plot No. 35 E, IDA Phase V, Cheralapally,Hyderabad, Telangana-500 051.","AG Bio Systems Pvt. Ltd. Plot No. 35 E, IDA Phase V, Cheralapally,Hyderabad, Telangana-500 051.","Plot No. 35 E, IDA Phase V, Cheralapally, Hyderabad, Telangana",31.03.2027
113,878.,TU/IV-RD/3491,RCC Laboratories India Pvt.,"Ltd. Genome Valley Turkapally, Hyderabad –500 078, (Telangana)","RCC Laboratories India Pvt. Ltd. Genome Valley Turkapally, Hyderabad –500 078, (Telangana)","Genome Valley, Turkapally, Hyderabad, (Telangana)",31.03.2028
118,922.,TU/IV-RD/3582,Ghanta Foods Pvt.,"Ltd. 4E, Surya Towers, Sardar PatelRoad,Secunderabad- 500 003, Telangana","Ghanta Foods Pvt. Ltd. 4E, Surya Towers, Sardar PatelRoad,Secunderabad- 500 003, Telangana","Survey NO. 631/6 (Part), 631/7(Part),631/8(Part),631/9 (Part), 631/10 (Part),631/11(Part), NandiwanaparthyVillage, Near Pilli Paili, Yacharam Mandal,DistrictRangaReddy (Telangana)",31.03.2026
118,926.,TU/IV-RD/3589,GV Seeds Pvt.,"Ltd. H.No. 13-255/2C, Plot No.18, Near Royal Function Hall, Chandra Nagar, Medchal,Medchal-Malkajgiri(Dist.), Hyderabad – 501 401,Telangana","GV Seeds Pvt. Ltd. H.No. 13-255/2C, Plot No.18, Near Royal Function Hall, Chandra Nagar, Medchal,Medchal-Malkajgiri(Dist.), Hyderabad – 501 401,Telangana","Sy. No. 49/1A, Tallavalli Village, Musunuru Mandal, Krishna District (AP),",31.03.2026
119,930.,TU/IV-RD/3602,Varsha Bioscience and Technology India Pvt.,"Ltd. Floor 3, No: 17-1-383/36/2, 2nd Main Road, Vinaynagar, Saidabad, Hyderabad-500 059,Telangana","Varsha Bioscience and Technology India Pvt. Ltd. Floor 3, No: 17-1-383/36/2, 2nd Main Road, Vinaynagar, Saidabad, Hyderabad-500 059,Telangana","Survey No. 253/A, dothigudem, Jiblakpally Village,BhoodanPochampallyMandal, Yadadri District, Telangana",31.03.2026
122,958.,TU/IV-RD/3646,Metrochem API Pvt.,"Ltd. Flat No. 302, Bhanu Enclave, Sunder Nagar, Erragadda, Hyderabad-500 038, (Telangana)","Metrochem API Pvt. Ltd. Flat No. 302, Bhanu Enclave, Sunder Nagar, Erragadda, Hyderabad-500 038, (Telangana)","Plot. No. 298/P, DR. No. 01-173/3/1, Phase-I, I.D.A.,Jeedimetla,Medchal-MalkajgiriDistrict, (Telangana)",31.03.2028
123,963.,TU/IV-RD/3653,HM Clause (India) Pvt.,"Ltd. Survey No. 563/P, D. No. 6-98/4, Gowdavelli Village, Medchal Mandal,Hyderabad - 501 401, (Telangana)","HM Clause (India) Pvt. Ltd. Survey No. 563/P, D. No. 6-98/4, Gowdavelli Village, Medchal Mandal,Hyderabad - 501 401, (Telangana)","Arjuna Bettahalli Village, Railway Gollahalli Post, NelamangalaTaluk, Bangalore, (Karnataka)",31.03.2028
124,973.,TU/IV-RD/3675,Trimurti Plant Sciences Pvt.,"Ltd.101,MGREstates,DwarakapuriColony,Punjagutta,Hyderabad-500082, (Telangana)","Trimurti Plant Sciences Pvt.Ltd.101,MGREstates,DwarakapuriColony,Punjagutta,Hyderabad-500082, (Telangana)","Ramayampalli,Topran, Medak Dist, (Telangana)",31.03.2027
125,978.,TU/IV-RD/3686,Alphamed Formulations Pvt.,"Ltd. Survey No. 225, Sampanbole Village, Shamirpet Mandal, RangaReddy District - 500 078,Telangana","Alphamed Formulations Pvt. Ltd. Survey No. 225, Sampanbole Village, Shamirpet Mandal, RangaReddy District - 500 078,Telangana","SurveyNo.225, Sampanbole, Shamirpet Mandal, Ranga Reddy District, Telangana",31.03.2025
125,980.,TU/IV-RD/3688,Shakthi Seeds Pvt.,"Ltd. 3-6-439/A, Street No.5, Himayatnagar, Hyderabad- 502 305, Telangana","Shakthi Seeds Pvt. Ltd. 3-6-439/A, Street No.5, Himayatnagar, Hyderabad- 502 305, Telangana","M. C. Pally, Shameerpet Mandal, Ranga Reddy District, Telangana",31.03.2025
126,995.,TU/IV-RD/3714,Eldorado Agritech Pvt.,"Ltd. Plot No. A11 & A12/1, IDA Nacharam, Ranga Reddy District, Hyderabad - 500 076,(Telangana)","Eldorado Agritech Pvt. Ltd. Plot No. A11 & A12/1, IDA Nacharam, Ranga Reddy District, Hyderabad - 500 076,(Telangana)","Plot No. A11 & A12/1, IDA Nacharam,Medchal-MalkajgiriDistrict, Hyderabad, (Telangana)",31.03.2028
128,1006.,TU/IV-RD/3733,Palamur Biosciences Pvt.,"Ltd. “Aikya”, Flat 301 & 401, H. No. 10-3-32/9/23, 3rd & 4th Floor, East Maredpally-Tukaram Gate Road, Opp. To Faust High School, Secunderabad – 500 026,Telangana","Palamur Biosciences Pvt. Ltd. “Aikya”, Flat 301 & 401, H. No. 10-3-32/9/23, 3rd & 4th Floor, East Maredpally-Tukaram Gate Road, Opp. To Faust High School, Secunderabad – 500 026,Telangana","MaddigatlaVillage,BoothpurMandal, Mahabubnagar, Telangana",31.03.2025
128,1012.,TU/IV-RD/3744,Vrinda Technologies Pvt.,"Ltd. #2-22-261/2, 4th Floor, A.S. Raju Nagar, Kukatpally, Hyderabad –500 072, (Telangana)","Vrinda Technologies Pvt. Ltd. #2-22-261/2, 4th Floor, A.S. Raju Nagar, Kukatpally, Hyderabad –500 072, (Telangana)","#2-22-261/2, 4th Floor, A.S.RajuNagar,Kukatpally, Hyderabad, (Telangana)",31.03.2028
129,1019.,TU/IV-RD/3758,UnitedStates Pharmacopeia India Pvt.,"Ltd Plot No. D6 & D8, IKP Knowledge Park, GenomeValley, Shameerpet, Hyderabad - 500101, Telangana","UnitedStates Pharmacopeia India Pvt. Ltd Plot No. D6 & D8, IKP Knowledge Park, GenomeValley, Shameerpet, Hyderabad - 500101, Telangana","(i) Plot No. D6 & D8, IKP Knowledge Park, Genome Valley,Shameerpet, Hyderabad, Telangana, (ii) Survey No. 234/2, 234/3, 235/2, Lab Unit No. 201 to 205, 2nd Floor, SME Hub, (Catalyst), IKP Knowledge Park, Turkapally, Shamirpet(Telangana)",31.03.2026
130,1027.,TU/IV-RD/3775,Cohance Lifesciences Ltd.,"202, 2nd Floor, B Wing, Galaxy Towers, Opp. IKEA, Hyderabad Knowledge City, Raidurg, Hyderabad - 500 081, (Telangana)","Cohance Lifesciences Ltd. 202, 2nd Floor, B Wing, Galaxy Towers, Opp. IKEA, Hyderabad Knowledge City, Raidurg, Hyderabad - 500 081, (Telangana)","(i) 4th Floor, CDC Towers, Road No:5, Nacharam, Hyderabad, (Telangana) (ii) Plot No. 8 & 9B, 40, Ground & First Floor, Mirra Industrial Estate, IDA Phase-I,Patancheru, SangareddyDistrict Hyderabad, (Telangana) (iii) Plot No. 3102/B, GIDC,Ankleshwar,District, Bharuch, (Gujarat) (iv) Plot No. A-21, Road No. 18(formerly Road No. 10), IDA Nacharam, Hyderabad (Telangana)",31.03.2026
133,1047.,TU/IV-RD/3815,Spansules Pharmatech Pvt.,"Ltd. Plot No. 59, G-3, Sri Venkateswara Towers, Bhagyanagar Colony, Opp. KPHB, Kukatpally, Hyderabad -500 072 (Telangana)","Spansules Pharmatech Pvt. Ltd. Plot No. 59, G-3, Sri Venkateswara Towers, Bhagyanagar Colony, Opp. KPHB, Kukatpally, Hyderabad -500 072 (Telangana)","Sy. No. 143 & 144, MIG 56& 57, Dharma Reddy Colony,Hydernagar, Kukatpally, Hyderabad, (Telangana)",31.03.2028
